"","study_id","site_id","core_id","Habitat_type","Country","Year_collected","Latitude","Longitude","accuracy_flag","accuracy_code","U_depth_m","L_depth_m","Method","OC_perc","N_perc","DOI"
"1","Vitti et al 2020","A",4,"Salt marsh","Italy","2018",45.68263135,13.35868782,"direct from dataset","1",0,0.12,"EA",0.74,0.055,"https://doi.org/10.1093/jpe/rtaa052"
"2","Vitti et al 2020","A",7,"Salt marsh","Italy","2018",45.68126261,13.35730737,"direct from dataset","1",0,0.12,"EA",3.99,0.4,"https://doi.org/10.1093/jpe/rtaa052"
"3","Vitti et al 2020","A",8,"Salt marsh","Italy","2018",45.68088281,13.35521556,"direct from dataset","1",0,0.12,"EA",1.72,0.21,"https://doi.org/10.1093/jpe/rtaa052"
"4","Vitti et al 2020","B",3,"Salt marsh","Italy","2018",45.68433542,13.33551071,"direct from dataset","1",0,0.12,"EA",1.34,0.16,"https://doi.org/10.1093/jpe/rtaa052"
"5","Vitti et al 2020","B",4,"Salt marsh","Italy","2018",45.6841239,13.33598959,"direct from dataset","1",0,0.12,"EA",0.385,0.015,"https://doi.org/10.1093/jpe/rtaa052"
"6","Vitti et al 2020","B",5,"Salt marsh","Italy","2018",45.6837666,13.33591065,"direct from dataset","1",0,0.12,"EA",0.435,0,"https://doi.org/10.1093/jpe/rtaa052"
"7","Vitti et al 2020","B",6,"Salt marsh","Italy","2018",45.6837056,13.33676572,"direct from dataset","1",0,0.12,"EA",6.75,1.93,"https://doi.org/10.1093/jpe/rtaa052"
"8","Vitti et al 2020","C",1,"Salt marsh","Italy","2018",45.69932316,13.30118227,"direct from dataset","1",0,0.12,"EA",0.27,0.005,"https://doi.org/10.1093/jpe/rtaa052"
"9","Vitti et al 2020","C",2,"Salt marsh","Italy","2018",45.69874953,13.30121162,"direct from dataset","1",0,0.12,"EA",0.38,0.06,"https://doi.org/10.1093/jpe/rtaa052"
"10","Vitti et al 2020","C",3,"Salt marsh","Italy","2018",45.69790717,13.30277618,"direct from dataset","1",0,0.12,"EA",2.585,0.245,"https://doi.org/10.1093/jpe/rtaa052"
"11","Vitti et al 2020","C",4,"Salt marsh","Italy","2018",45.69735408,13.30375825,"direct from dataset","1",0,0.12,"EA",4.92,0.48,"https://doi.org/10.1093/jpe/rtaa052"
"12","Vitti et al 2020","D",4,"Salt marsh","Italy","2018",45.70546198,13.29123631,"direct from dataset","1",0,0.12,"EA",7.517,0.023333333,"https://doi.org/10.1093/jpe/rtaa052"
"13","Vitti et al 2020","D",5,"Salt marsh","Italy","2018",45.70561497,13.29006419,"direct from dataset","1",0,0.12,"EA",3.82,0.02,"https://doi.org/10.1093/jpe/rtaa052"
"14","Vitti et al 2020","E",6,"Salt marsh","Italy","2018",45.7105997,13.26136545,"direct from dataset","1",0,0.12,"EA",1.105,0.13,"https://doi.org/10.1093/jpe/rtaa052"
"15","Vitti et al 2020","E",7,"Salt marsh","Italy","2018",45.71088572,13.26004576,"direct from dataset","1",0,0.12,"EA",6.265,0.595,"https://doi.org/10.1093/jpe/rtaa052"
"16","Vitti et al 2020","E",8,"Salt marsh","Italy","2018",45.71126555,13.25911701,"direct from dataset","1",0,0.12,"EA",1.61,0.155,"https://doi.org/10.1093/jpe/rtaa052"
"17","Vitti et al 2020","F",3,"Salt marsh","Italy","2018",45.71636623,13.238744,"direct from dataset","1",0,0.12,"EA",0.575,0.07,"https://doi.org/10.1093/jpe/rtaa052"
"18","Vitti et al 2020","F",4,"Salt marsh","Italy","2018",45.71640545,13.23931994,"direct from dataset","1",0,0.12,"EA",0.305,0.01,"https://doi.org/10.1093/jpe/rtaa052"
"19","Vitti et al 2020","F",5,"Salt marsh","Italy","2018",45.71629305,13.24063838,"direct from dataset","1",0,0.12,"EA",1.07,0.055,"https://doi.org/10.1093/jpe/rtaa052"
"20","Vitti et al 2020","G",5,"Salt marsh","Italy","2018",45.7141191,13.21733019,"direct from dataset","1",0,0.12,"EA",13.345,0.94,"https://doi.org/10.1093/jpe/rtaa052"
"21","Vitti et al 2020","G",6,"Salt marsh","Italy","2018",45.71416364,13.21568868,"direct from dataset","1",0,0.12,"EA",9.02,1.766666667,"https://doi.org/10.1093/jpe/rtaa052"
"22","Vitti et al 2020","G",7,"Salt marsh","Italy","2018",45.71391655,13.21378081,"direct from dataset","1",0,0.12,"EA",8.313,0.18,"https://doi.org/10.1093/jpe/rtaa052"
"23","Vitti et al 2020","H",8,"Salt marsh","Italy","2018",45.71382827,13.18429655,"direct from dataset","1",0,0.12,"EA",1.495,0.075,"https://doi.org/10.1093/jpe/rtaa052"
"24","Vitti et al 2020","H",9,"Salt marsh","Italy","2018",45.71373437,13.18445316,"direct from dataset","1",0,0.12,"EA",1.06,0.065,"https://doi.org/10.1093/jpe/rtaa052"
"25","Vitti et al 2020","I",17,"Salt marsh","Italy","2018",45.70770963,13.17763773,"direct from dataset","1",0,0.12,"EA",1.03,0.13,"https://doi.org/10.1093/jpe/rtaa052"
"26","Vitti et al 2020","I",18,"Salt marsh","Italy","2018",45.70768974,13.17667896,"direct from dataset","1",0,0.12,"EA",7.38,0.01,"https://doi.org/10.1093/jpe/rtaa052"
"27","Vitti et al 2020","L",14,"Salt marsh","Italy","2018",45.70364644,13.16002351,"direct from dataset","1",0,0.12,"EA",7.733,0.09,"https://doi.org/10.1093/jpe/rtaa052"
"28","Vitti et al 2020","L",15,"Salt marsh","Italy","2018",45.70387303,13.15974528,"direct from dataset","1",0,0.12,"EA",4.025,0.34,"https://doi.org/10.1093/jpe/rtaa052"
